,"ADOLFO, SP","ALVARES FLORENCE, SP","AMERICO DE CAMPOS, SP","APARECIDA D'OESTE, SP","ARIRANHA, SP","ASPASIA, SP","BADY BASSITT, SP","BALSAMO, SP","CARDOSO, SP","CATANDUVA, SP","CATIGUA, SP","CEDRAL, SP","COSMORAMA, SP","DIRCE REIS, SP","DOLCINOPOLIS, SP","ELISIARIO, SP","EMBAUBA, SP","ESTRELA D'OESTE, SP","FERNANDOPOLIS, SP","FERNANDO PRESTES, SP","FLOREAL, SP","GASTAO VIDIGAL, SP","GENERAL SALGADO, SP","GUAPIACU, SP","GUARANI D'OESTE, SP","IBIRA, SP","ICEM, SP","INDIAPORA, SP","IPIGUA, SP","IRAPUA, SP","ITAJOBI, SP","JACI, SP","JALES, SP","JOSE BONIFACIO, SP","MACAUBAL, SP","MACEDONIA, SP","MAGDA, SP","MARAPOAMA, SP","MARINOPOLIS, SP","MENDONCA, SP","MERIDIANO, SP","MESOPOLIS, SP","MIRA ESTRELA, SP","MIRASSOL, SP","MIRASSOLANDIA, SP","MONCOES, SP","MONTE APRAZIVEL, SP","NEVES PAULISTA, SP","NHANDEARA, SP","NIPOA, SP","NOVA ALIANCA, SP","NOVA CANAA PAULISTA, SP","NOVA GRANADA, SP","NOVAIS, SP","NOVO HORIZONTE, SP","ONDA VERDE, SP","ORINDIUVA, SP","OUROESTE, SP","PALESTINA, SP","PALMARES PAULISTA, SP","PALMEIRA D'OESTE, SP","PARAISO, SP","PARANAPUA, SP","PARISI, SP","PAULO DE FARIA, SP","PEDRANOPOLIS, SP","PINDORAMA, SP","PIRANGI, SP","PLANALTO, SP","POLONI, SP","PONTALINDA, SP","PONTES GESTAL, SP","POPULINA, SP","POTIRENDABA, SP","RIOLANDIA, SP","RUBINEIA, SP","SALES, SP","SANTA ADELIA, SP","SANTA ALBERTINA, SP","SANTA CLARA D'OESTE, SP","SANTA FE DO SUL, SP","SANTANA DA PONTE PENSA, SP","SANTA RITA D'OESTE, SP","SANTA SALETE, SP","SAO FRANCISCO, SP","SAO JOAO DAS DUAS PONTES, SP","SAO JOAO DE IRACEMA, SP","SAO JOSE DO RIO PRETO, SP","SEBASTIANOPOLIS DO SUL, SP","TABAPUA, SP","TANABI, SP","TRES FRONTEIRAS, SP","TURMALINA, SP","UBARANA, SP","UCHOA, SP","UNIAO PAULISTA, SP","URANIA, SP","URUPES, SP","VALENTIM GENTIL, SP","VITORIA BRASIL, SP","VOTUPORANGA, SP","ZACARIAS, SP"
"GUARANI D'OESTE, SP","147,5599","52,54482","67,66817","70,35785","202,9984","41,87206","131,4495","107,6822","44,35349","184,5285","171,6851","144,353","73,77589","51,72248","19,1285","176,0972","186,0081","24,34406","24,8745","216,7997","69,70792","81,38662","63,70808","141,0122",,"159,6646","122,8546","11,47554","118,3525","164,7869","191,1486","120,2353","30,7616","558,7026","90,04754","17,02451","64,25238","181,5999","64,93824","146,1555","35,58392","31,72847","23,43023","119,2864","109,2566","89,62475","100,6302","112,3412","75,39008","109,6522","136,2379","72,5945","118,0476","179,6852","193,065","123,8753","103,909","8,841883","100,9041","195,2714","58,36783","193,4084","26,13557","42,41356","98,2594","30,72173","296,6999","207,9512","114,5922","95,68851","45,01315","67,47773","25,40284","147,0565","69,45655","70,02672","165,3198","205,5329","41,04253","61,58464","63,43018","52,0405","52,23383","41,31065","49,11157","35,03042","48,69932","129,1292","77,86985","168,0773","94,10981","60,44168","14,65315","136,9487","155,6989","101,1069","37,25735","165,8307","46,73037","20,6035","54,55557","112,3859"
"IBIRA, SP","45,07948","109,1435","100,7884","184,387","48,39201","185,4399","28,31644","52,11249","131,0895","28,74775","19,51319","19,98712","86,86144","157,4921","169,7282","16,62901","43,51894","149,2154","137,2772","61,15892","104,1114","103,5873","125,853","31,59082","159,6646",,"82,08613","163,7473","49,35355","27,97268","31,83234","40,53994","163,3006","399,0382","81,04166","143,4442","113,2221","22,63724","179,2001","36,75631","125,9407","189,3619","153,4774","40,44576","56,54056","92,51378","60,00488","48,68653","93,45554","58,84925","27,53276","193,5668","61,07509","35,0025","42,77729","52,80457","100,2314","167,9749","79,13504","45,59941","174,5368","49,01267","177,0307","117,7487","117,61","129,1038","137,8654","60,00541","71,47373","68,07007","151,0947","110,4223","184,7508","14,50376","130,1612","208,999","39,30937","48,72656","193,5987","206,8179","200,2919","186,1232","195,4412","176,8941","171,2154","141,0919","131,5799","33,05151","84,91436","25,29631","66,09976","195,6769","171,7981","50,10917","16,22323","71,5248","173,0563","14,37849","114,1986","162,2751","105,1229","84,13509"
"ICEM, SP","109,4131","74,32745","56,46912","176,1668","102,7774","161,2","69,13449","59,11379","80,29214","90,76241","79,69754","62,63075","62,57091","147,7367","139,6351","91,89029","80,21888","125,6336","110,1643","115,3172","105,6698","115,1717","126,0767","50,49536","122,8546","82,08613",,"121,1013","40,25822","106,1808","108,4503","71,66021","141,4621","456,8757","95,22317","106,3863","112,467","101,6627","170,0552","101,41","101,8652","154,3471","106,0484","61,54084","41,04543","109,5205","70,87123","71,94619","96,26836","87,64277","81,05191","182,8878","24,87295","77,87749","124,7125","31,15587","23,85869","128,6169","25,09841","92,00899","163,5965","86,61496","147,4965","85,36731","40,49742","95,92257","207,2011","100,3423","108,1144","80,92875","138,8978","55,68483","146,9019","80,20275","64,46089","189,2459","115,1686","107,8394","163,6121","182,7783","181,2977","167,4431","172,1772","156,1906","156,582","123,4877","122,0857","55,56625","83,44266","71,113","56,91765","177,2832","137,4543","105,9262","67,56552","94,91407","151,6244","95,881","93,24562","135,4563","81,42849","118,8239"
"INDIAPORA, SP","154,4587","54,90712","67,85704","80,66718","205,704","49,86907","135,7806","111,6374","40,93632","187,6563","174,7411","147,5648","76,99969","63,12436","28,15142","179,9854","187,8294","35,68866","33,73365","219,5125","78,57558","90,87395","74,37624","143,2915","11,47554","163,7473","121,1013",,"120,4195","170,5874","195,4575","125,135","41,71683","562,5207","97,65643","20,8932","73,84044","185,9866","75,45141","152,5111","43,25206","34,41122","16,08948","123,3087","111,3959","98,47665","105,7816","117,4467","83,25225","116,2043","141,3918","82,1822","118,6416","181,8737","198,6524","125,014","100,7974","8,998463","100,5205","197,524","69,02688","195,2021","33,76522","46,07488","93,37061","35,24155","301,3519","209,7986","122,6503","101,8668","56,48867","65,42831","26,1524","151,6585","63,75595","77,12715","171,788","208,5538","46,11549","67,69635","71,28314","61,08347","59,46633","50,94545","59,77152","46,05271","59,38018","132,3516","84,30297","170,557","97,70476","68,75508","21,03775","144,04","158,7148","108,4803","47,22043","170,7319","53,4296","31,51027","59,46292","121,2858"
"IPIGUA, SP","69,3538","65,85653","53,80041","157,3442","85,48316","150,3014","29,60566","21,80801","84,21544","68,23551","55,34777","29,8408","45,15682","128,7642","131,4997","63,39945","67,65907","113,1546","99,03811","99,26495","78,95486","84,99509","101,3676","22,919","118,3525","49,35355","40,25822","120,4195",,"68,89454","80,16154","31,54983","128,6175","443,2121","62,31884","101,418","87,33792","71,61136","151,5123","61,59361","88,41642","149,5988","108,2877","21,35584","9,100441","76,92751","35,38511","32,98366","68,10845","49,56758","41,37238","165,4316","15,3956","61,45908","91,31686","11,17108","52,76807","125,9552","30,01531","77,10514","145,7472","75,0612","139,2641","76,07943","69,5014","87,85773","185,1501","89,59876","70,0188","46,61364","120,8039","61,91917","143,7479","43,02418","80,8998","176,5638","76,67702","88,73072","156,0628","172,2766","168,0421","153,6806","161,0126","143,1995","140,3843","107,5518","101,8049","17,21283","55,72813","50,24179","27,72898","163,6174","131,8478","65,67785","39,59464","58,97305","138,8929","61,20548","77,29242","125,2426","66,08817","81,72488"
"IRAPUA, SP","24,76036","118,1366","113,752","178,4761","65,13998","184,938","40,23525","62,87345","142,7192","48,35675","44,58151","44,14327","96,40108","153,5846","172,0109","33,42934","67,99187","150,6015","140,7917","75,02785","101,4735","97,20446","121,0131","56,77683","164,7869","27,97268","106,1808","170,5874","68,89454",,"36,56002","46,7936","163,1584","397,2913","77,81324","149,7373","110,1735","29,0268","173,8525","20,46103","129,5147","192,3651","162,4957","52,47263","73,77164","85,73588","65,08155","53,68463","92,13999","55,82683","30,4987","188,0862","82,9927","60,00972","28,44712","75,36413","121,6379","173,4808","98,54614","66,54097","170,0399","72,02442","178,7391","124,9193","138,351","135,3458","133,7629","79,94668","60,26248","69,13806","148,4639","125,1031","188,9266","26,08128","146,4859","205,9977","11,60827","62,81906","194,699","205,3602","197,3629","183,6947","194,1659","175,6057","168,1593","141,083","129,62","51,75471","87,00815","52,39208","76,65436","192,7311","175,4077","34,29832","43,99507","66,74015","172,2179","14,89142","118,0799","163,8824","111,1604","71,17552"
"ITAJOBI, SP","61,25562","140,9417","132,4959","212,2002","31,1898","215,5789","59,72158","83,83782","162,8538","21,8576","29,13587","50,32579","118,6509","186,1888","200,6507","16,91528","43,24701","179,8351","168,3956","38,9656","133,0418","130,7368","153,9552","59,63571","191,1486","31,83234","108,4503","195,4575","80,16154","36,56002",,"71,18705","193,4963","367,6656","109,4456","175,0635","142,054","9,613086","207,2857","55,75827","157,0295","220,4978","185,3057","72,16615","87,8804","119,3361","90,8742","79,27308","122,8122","86,86616","56,10046","221,6258","90,22782","38,1391","24,16674","81,82221","128,7673","199,5313","109,2875","36,57449","203,0217","44,08992","207,8217","149,4158","146,3691","160,6852","106,0362","47,38639","95,32222","97,92158","180,3179","141,8226","216,1173","44,21817","161,0112","238,2439","45,79346","27,39266","224,2586","236,6682","229,5473","215,548","225,3326","206,7317","200,3355","171,2479","160,98","64,59481","115,336","38,56731","97,88862","224,9139","203,0298","70,16898","41,6385","99,03863","203,0443","27,01647","145,3031","192,9992","136,5958","106,9388"
"JACI, SP","39,62183","71,65884","67,1112","144,7153","87,79288","144,903","12,949","16,64569","95,93097","68,16216","56,39507","31,39252","49,6949","117,373","129,4765","57,15883","77,06632","108,777","97,21975","101,0832","64,08789","65,24387","86,27657","37,26722","120,2353","40,53994","71,66021","125,135","31,54983","46,7936","71,18705",,"122,7656","438,8302","41,86795","104,4744","73,20311","61,58443","139,3718","33,16345","85,85061","149,3169","116,1841","10,21781","31,9187","54,91203","19,69188","8,149372","53,22575","21,87414","16,4593","153,7153","46,81621","68,91846","73,95405","42,05356","81,09454","128,7333","56,69602","82,83753","134,489","83,94998","136,6884","79,1115","96,31149","90,03968","176,4647","97,08087","40,68789","27,73071","110,743","78,83204","145,0451","26,96952","100,6872","168,5819","51,17712","88,8697","153,1901","166,284","159,8773","145,6695","154,9055","136,3657","130,875","100,5526","91,19317","21,37582","44,38354","56,64847","29,91763","155,2713","131,8798","34,4369","42,23573","34,09121","132,5175","45,62588","74,13223","121,8908","65,80289","53,30472"
"JALES, SP","142,7602","67,18429","85,03111","40,09583","209,6039","22,14395","135,2012","113,4964","69,54872","190,2972","177,8921","150,7987","83,87413","22,84611","16,39048","179,9237","195,1764","15,87283","31,29868","223,1972","61,88239","69,43582","46,60172","149,9926","30,7616","163,3006","141,4621","41,71683","128,6175","163,1584","193,4963","122,7656",,"560,2855","85,37123","39,50709","53,68039","183,8943","34,42799","143,2203","40,51569","34,10697","53,53127","124,3793","119,7223","79,97192","103,4","114,6167","71,07881","107,4806","137,4037","43,72761","131,8103","188,0235","191,5469","136,1802","125,586","34,68572","117,4491","203,1846","27,7261","202,5288","18,53112","56,10158","123,0111","45,90767","296,8728","216,726","106,7634","95,57512","19,3983","88,9012","35,93461","149,5279","96,11608","48,22758","161,5204","211,2552","32,00742","43,84198","39,9733","25,98172","32,48509","14,79913","18,53281","22,24843","34,12695","136,0271","78,38651","175,8846","101,6703","35,84218","24,89915","131,8053","162,3702","96,54993","10,32357","166,9387","51,32542","10,20799","62,7612","101,2301"
"JOSE BONIFACIO, SP","419,1326","507,6572","497,0112","574,1051","357,9461","582,1716","427,279","451,0699","527,3796","375,1268","388,0645","415,0319","485,5241","550,54","568,1979","382,6319","378,2364","547,1678","536,0499","344,2941","498,7559","493,9397","517,9421","420,3769","558,7026","399,0382","456,8757","562,5207","443,2121","397,2913","367,6656","438,8302","560,2855",,"475,0658","542,4165","507,4597","377,2552","569,9356","417,5076","524,6806","588,1443","551,3398","439,4359","451,9694","482,5504","458,5221","446,884","489,2086","452,8082","423,3448","583,8992","448,4763","382,7648","369,0749","440,8129","480,6734","566,9903","468,3687","367,2746","566,6345","371,2445","575,2566","516,6802","497,1304","528,116","263,5574","356,9686","456,1142","465,0698","545,7125","504,1751","583,7581","411,8723","519,7242","602,9785","400,099","354,4814","591,531","602,6424","594,4","580,8919","591,4572","572,8949","565,275","538,1079","526,9066","430,2121","482,7364","393,136","464,8564","589,7808","570,6953","429,9909","404,0583","464,0308","569,4753","393,638","512,961","560,399","504,1582","464,9664"
"MACAUBAL, SP","57,9817","54,1923","61,16823","103,3457","129,1521","107,126","54,78051","40,79903","80,6294","109,442","98,07149","73,08794","41,09894","76,76018","94,92056","97,31676","118,8825","73,31025","65,25241","142,1733","23,72465","23,55398","44,81426","76,99089","90,04754","81,04166","95,22317","97,65643","62,31884","77,81324","109,4456","41,86795","85,37123","475,0658",,"77,06265","32,63358","99,9501","98,18842","57,8669","54,57179","115,4601","93,25002","47,6215","56,46927","14,6379","27,1081","34,4829","14,77467","22,57976","53,79662","112,5562","73,78225","110,778","106,1792","73,19848","94,30623","98,88902","72,28231","124,638","93,67354","125,8071","101,3386","55,94336","104,3429","63,60906","211,5686","138,9217","25,42428","15,81786","70,97077","74,26275","112,8224","66,63651","96,13497","128,835","76,4101","129,768","117,0431","127,6804","120,1472","106,2427","116,4353","97,84944","90,91823","63,38842","51,86593","60,84221","17,0643","98,49191","38,315","115,5114","99,09081","47,16109","84,09562","11,27641","94,41291","82,51304","44,41241","86,55385","42,28434","28,60364"
"MACEDONIA, SP","133,6029","35,57031","50,77303","79,27216","186,2486","55,85102","115,3446","91,35502","30,14366","167,9072","155,0334","127,7411","57,07868","55,83764","33,482","159,7883","169,0604","26,46073","16,27965","200,0559","59,03631","71,99334","58,3916","124,1311","17,02451","143,4442","106,3863","20,8932","101,418","149,7373","175,0635","104,4744","39,50709","542,4165","77,06265",,"55,35281","165,5548","73,37845","131,6179","23,28014","48,69617","19,19226","103,0055","92,32834","78,75563","85,031","96,71852","62,84271","95,32215","120,6661","83,22044","101,0354","162,8009","177,8443","106,853","88,22677","24,65186","84,04899","178,4053","66,531","176,4583","41,24862","25,75173","84,03289","14,4377","280,8395","191,0122","102,2234","80,97372","47,47861","51,47582","42,35169","131,1216","56,61539","84,27447","150,8954","188,8822","57,22794","76,80555","76,97703","64,23352","66,68733","52,90739","57,66431","33,06921","43,98502","112,5099","63,4251","151,2547","77,59752","73,47398","31,25382","123,222","139,0257","87,77192","48,41492","150,0969","32,68826","30,95704","38,69497","101,5037"
"MAGDA, SP","89,14922","48,82223","63,89699","71,60019","160,9838","74,99566","86,11784","67,96787","70,4336","141,3242","129,5745","103,5864","50,11857","44,27389","65,04266","129,6415","149,3068","43,5702","40,14407","174,1977","9,119585","17,14168","14,04699","105,5887","64,25238","113,2221","112,467","73,84044","87,33792","110,1735","142,054","73,20311","53,68039","507,4597","32,63358","55,35281",,"132,5408","66,18205","89,98595","32,55987","85,57035","74,08045","77,17331","79,62085","26,49283","55,44878","65,29185","20,10124","55,20281","86,23871","80,51599","95,37804","141,48","138,4185","97,12329","104,7244","72,84548","87,50499","155,8649","61,32498","156,4279","70,70253","43,73598","109,8978","45,40136","243,9129","169,9747","53,12818","45,5152","38,353","74,73449","84,2085","98,93684","92,90724","96,20338","107,9913","161,886","85,65775","95,1867","87,51417","73,62677","84,00467","65,47468","58,28773","32,57559","19,60552","90,02837","31,63222","129,1485","59,87258","82,87853","70,49345","78,18791","114,943","43,4549","62,22842","115,1408","28,57087","56,33259","35,92865","48,68129"
"MARAPOAMA, SP","53,27442","131,5495","123,4256","202,8342","36,25259","205,9809","50,21374","74,40689","153,7171","21,59385","24,29898","41,81874","109,254","176,7066","191,0416","10,20166","43,16914","170,2221","158,799","46,1008","123,515","121,4058","144,5261","51,94942","181,5999","22,63724","101,6627","185,9866","71,61136","29,0268","9,613086","61,58443","183,8943","377,2552","99,9501","165,5548","132,5408",,"197,8825","47,1761","147,4317","210,8995","175,9677","62,74285","79,06991","110,0324","81,27389","69,66488","113,2464","77,37579","46,5088","212,2305","82,37632","36,57795","25,13384","73,98675","121,2483","189,9999","101,0789","39,01431","193,5684","45,58481","198,2094","139,9302","138,7895","151,166","115,4125","51,57816","86,38038","88,31922","170,7815","132,9954","206,5449","34,61846","152,5099","228,7161","39,35518","33,80378","214,6457","227,0891","220,0172","206,0003","215,7498","197,1507","190,8133","161,6459","151,4237","55,64092","105,7232","33,96965","88,49893","215,3849","193,441","61,64823","34,1723","89,61954","193,4536","17,75316","135,7077","183,3863","127,0526","98,21292"
"MARINOPOLIS, SP","150,9678","96,36606","114,5593","6,142903","227,1261","32,66672","152,2952","133,5011","102,9877","207,4477","195,754","169,6883","109,0745","22,7674","47,77947","195,5051","215,3092","47,48295","62,30782","240,2779","75,28878","76,7014","53,39493","171,0941","64,93824","179,2001","170,0552","75,45141","151,5123","173,8525","207,2857","139,3718","34,42799","569,9356","98,18842","73,37845","66,18205","197,8825",,"153,395","68,53561","56,69257","87,94273","143,1855","143,1356","88,1697","121,461","131,4739","86,24872","120,6338","151,9755","14,36788","157,2495","207,5682","201,4498","160,3911","156,3778","67,60159","145,263","222,0348","6,862182","222,4783","44,81049","85,82768","155,4952","77,36685","306,6685","236,1152","113,9926","111,6972","31,22702","120,3582","62,69447","164,8212","129,6896","35,03967","169,9828","227,9155","46,2975","39,90544","27,7168","20,80966","32,78579","25,77632","15,89525","46,70236","49,70744","155,8634","96,87357","195,2413","123,7954","23,92864","56,15355","140,227","181,0868","108,2635","28,57881","180,2721","76,8999","44,37695","88,79906","105,0559"
"MENDONCA, SP","8,865426","101,554","99,37819","158,0154","81,89429","164,8862","32,28348","49,76838","127,0526","63,37373","56,16111","44,72526","80,62607","133,2007","152,5458","48,63108","80,23972","131,0207","121,8277","93,01416","81,39691","76,76354","100,613","56,48502","146,1555","36,75631","101,41","152,5111","61,59361","20,46103","55,75827","33,16345","143,2203","417,5076","57,8669","131,6179","89,98595","47,1761","153,395",,"110,6643","173,0025","145,3544","41,60809","64,16508","65,29906","48,55925","38,19997","72,40398","36,52841","20,36414","167,6257","76,82815","71,74745","48,43725","70,35738","113,4473","154,923","89,28851","81,2815","149,6087","85,47535","159,1179","107,4187","129,1515","117,3476","153,9505","95,41021","39,89111","50,64485","128,2049","111,524","169,889","25,9971","133,6062","185,6309","19,32045","80,51411","174,9062","185,1445","177,0085","163,3993","173,9881","155,4579","147,8247","121,2522","109,5031","46,00506","68,31687","61,68794","62,32245","172,3793","156,2691","14,47457","49,59801","46,672","152,142","29,85912","99,45153","144,2929","93,42062","51,1906"
"MERIDIANO, SP","111,9762","27,8308","46,02443","74,67673","170,8996","61,90899","97,62442","74,67006","40,64829","151,9171","139,2659","111,9483","43,43619","46,92509","43,87342","142,5209","155,4845","24,80034","11,3722","184,6181","35,75825","48,85625","38,02147","110,2087","35,58392","125,9407","101,8652","43,25206","88,41642","129,5147","157,0295","85,85061","40,51569","524,6806","54,57179","23,28014","32,55987","147,4317","68,53561","110,6643",,"63,46835","41,58224","85,99676","79,44205","55,49226","66,15897","77,80524","40,03873","74,13977","101,5077","81,05062","91,29911","148,5813","157,8757","95,71333","87,95116","44,40808","77,40609","163,9364","61,92937","162,8695","51,37438","17,52922","88,42126","13,37577","262,0681","177,2086","79,41611","60,37963","37,85038","52,58289","59,44501","112,8133","65,94135","88,73724","129,786","172,9586","68,13082","83,89793","80,41364","66,21529","72,68707","55,28201","54,71686","21,8455","25,72298","96,90225","42,50659","136,5931","62,01383","76,16574","46,07608","101,371","123,4775","65,56178","50,83923","131,2125","11,74205","36,94949","22,34468","78,26211"
"MESOPOLIS, SP","173,4312","84,00635","99,39631","60,1236","233,7046","24,25441","161,048","137,7853","74,84807","214,9696","202,2111","174,8485","104,6751","55,38943","20,59049","205,9185","217,2386","42,24885","52,10482","247,4792","92,907","102,1339","80,23655","172,0975","31,72847","189,3619","154,3471","34,41122","149,5988","192,3651","220,4978","149,3169","34,10697","588,1443","115,4601","48,69617","85,57035","210,8995","56,69257","173,0025","63,46835",,"50,49139","149,251","140,4989","112,0552","129,6259","141,2613","100,7285","136,6017","164,8934","57,93064","149,7214","210,7418","220,8011","155,4332","134,7844","25,97606","132,6235","226,2692","52,07795","224,6428","15,57704","73,52133","127,7782","61,74356","325,4006","239,1444","138,4605","123,4366","53,4685","98,77035","8,943098","176,2812","98,14821","45,85086","191,8168","236,0106","13,53525","35,12526","42,07087","36,96088","29,76564","31,73538","44,38901","52,99746","66,67088","159,6768","105,612","198,9909","124,5966","41,07549","17,76118","162,5669","186,2975","126,7341","30,9255","194,6117","75,19882","29,23781","84,59203","134,0309"
"MIRA ESTRELA, SP","148,1337","44,56516","54,733","93,50436","193,7706","64,92332","126,005","101,6593","25,80647","176,2134","163,2755","136,409","66,8012","72,78906","42,41529","169,4076","175,1159","43,50165","35,45982","207,5482","77,06688","90,40904","77,58248","131,2018","23,43023","153,4774","106,0484","16,08948","108,2877","162,4957","185,3057","116,1841","53,53127","551,3398","93,25002","19,19226","74,08045","175,9677","87,94273","145,3544","41,58224","50,49139",,"113,2765","99,42131","96,44006","97,4208","108,8587","79,6499","109,7278","132,6207","96,00659","105,2004","169,5177","190,1227","111,9884","85,1815","24,88456","86,45749","185,1772","81,25678","182,4418","48,90103","38,04314","77,31404","29,85982","291,3418","197,0474","118,6546","95,04513","65,0164","50,61264","42,12129","142,0953","47,66647","92,68314","164,6693","196,9299","62,1048","83,54719","86,47622","75,44234","74,92651","64,73681","72,05215","51,69005","63,14501","121,3175","78,26666","158,5251","87,50046","83,66972","36,41245","138,1158","147,2846","103,4647","60,64388","161,4287","49,21662","43,61841","52,15469","118,9867"
"MIRASSOL, SP","48,78622","68,81131","61,86071","148,7161","85,22482","146,4945","12,8649","11,67258","91,63691","65,99812","53,51316","26,59407","46,51577","120,8146","129,8682","56,8114","72,14018","109,7904","97,26537","98,83968","68,17649","71,16547","90,74701","29,42738","119,2864","40,44576","61,54084","123,3087","21,35584","52,47263","72,16615","10,21781","124,3793","439,4359","47,6215","103,0055","77,17331","62,74285","143,1855","41,60809","85,99676","149,251","113,2765",,"22,56272","61,55486","21,73157","13,73309","57,08488","30,3047","22,41133","157,4458","36,67442","64,39976","78,1149","31,85149","71,87226","127,5556","47,68255","79,11828","137,9827","79,29281","137,3056","77,30317","87,5798","88,68126","178,1554","93,02195","50,10424","32,1932","113,6861","72,75792","144,4439","29,02424","94,01334","171,1256","58,42951","87,01811","153,9895","168,1631","162,4498","148,1309","156,777","138,3889","133,7619","102,369","94,14795","13,2246","46,58899","52,08457","25,77629","157,8856","131,6142","44,40918","38,12299","41,52574","134,3666","48,4927","74,27916","122,6686","64,79341","62,43012"
"MIRASSOLANDIA, SP","71,28983","56,7727","45,14124","149,0122","94,39546","141,3452","33,58552","18,06852","75,61556","76,87677","63,95116","37,69452","36,10876","120,3708","122,4313","71,29211","76,75824","104,2059","90,00322","108,1915","71,48174","78,43417","93,66773","31,89585","109,2566","56,54056","41,04543","111,3959","9,100441","73,77164","87,8804","31,9187","119,7223","451,9694","56,46927","92,32834","79,62085","79,06991","143,1356","64,16508","79,44205","140,4989","99,42131","22,56272",,"71,09414","30,41265","31,03569","60,85144","46,61608","44,62033","156,9715","17,45246","70,51201","97,63374","17,50254","49,31758","116,877","25,15727","86,14725","137,2832","84,1607","130,2046","66,97917","65,11129","78,75748","193,3254","98,69482","67,11925","41,18138","112,2909","53,94446","134,6535","48,55419","73,78611","167,7374","80,59522","97,51401","147,0005","163,3284","159,2406","144,8898","152,0826","134,3411","131,7521","98,80044","93,45158","23,52767","48,19097","59,18574","19,7514","154,8365","122,7485","66,2828","48,04512","54,53965","130,0115","67,4754","68,40421","116,2239","57,10094","78,11214"
"MONCOES, SP","63,51876","61,9392","71,8526","92,93015","140,8902","100,9006","67,59756","55,33093","87,42591","121,1982","110,3322","86,30455","52,84385","67,99185","91,51237","108,3712","131,8836","69,97566","64,90551","153,5937","19,92883","11,47197","35,39165","90,98216","89,62475","92,51378","109,5205","98,47665","76,92751","85,73588","119,3361","54,91203","79,97192","482,5504","14,6379","78,75563","26,49283","110,0324","88,1697","65,29906","55,49226","112,0552","96,44006","61,55486","71,09414",,"41,63096","48,06723","18,32511","33,82596","64,98416","102,4517","88,37963","123,6345","113,5737","87,82986","107,4771","98,3726","86,15861","137,0336","84,30978","138,6583","97,18565","61,18929","116,4863","66,6361","219,0351","151,4145","26,86038","30,34148","63,51153","84,58695","110,5254","78,01003","105,6557","120,4355","82,51955","141,0778","111,9791","120,4269","111,8496","98,44144","109,4419","91,11201","82,75645","59,06608","45,85297","74,76273","28,04081","111,4386","52,70888","107,231","96,77276","52,59799","97,00086","21,09187","88,13752","92,33147","47,43718","82,81794","48,90727","22,80936"
"MONTE APRAZIVEL, SP","52,80857","53,18271","51,4578","126,9849","106,4468","125,5437","31,80414","13,70037","78,49365","86,99134","74,78581","48,2483","32,0947","99,12409","109,8119","76,63153","93,87168","89,2105","77,52789","119,933","46,47322","50,31261","69,07535","50,47878","100,6302","60,00488","70,87123","105,7816","35,38511","65,08155","90,8742","19,69188","103,4","458,5221","27,1081","85,031","55,44878","81,27389","121,461","48,55925","66,15897","129,6259","97,4208","21,73157","30,41265","41,63096",,"11,71115","35,3717","18,15577","35,6417","135,7299","47,85794","86,11","92,91298","46,41411","74,34504","109,1706","50,40097","100,714","116,2906","101,02","117,0572","59,90133","87,32176","70,59506","196,0877","114,6961","37,7623","11,29627","92,09916","64,12877","125,3758","46,65622","86,58034","149,7066","67,70994","107,8929","133,5993","147,0561","141,0159","126,7341","135,6688","117,189","112,2048","81,24857","72,53993","34,63938","25,11675","73,78636","16,32507","136,4337","112,1906","44,42684","59,70933","24,14057","113,2572","65,20362","54,44069","102,2817","46,33708","47,95698"
"NEVES PAULISTA, SP","43,48402","64,45263","61,18162","136,8627","95,78773","136,7546","20,86239","13,32038","89,27255","76,1934","64,29142","38,63699","42,82806","109,3909","121,3778","65,30722","84,46203","100,6406","89,17705","109,1313","56,18963","58,00907","78,51047","43,02515","112,3412","48,68653","71,94619","117,4467","32,98366","53,68463","79,27308","8,149372","114,6167","446,884","34,4829","96,71852","65,29185","69,66488","131,4739","38,19997","77,80524","141,2613","108,8587","13,73309","31,03569","48,06723","11,71115",,"45,25449","16,79472","23,94811","145,8042","47,51228","76,43549","81,32323","44,05582","78,9893","120,8805","54,52909","90,60073","126,5238","91,44766","128,5694","71,5073","93,35563","82,28113","184,3819","104,7725","37,07029","19,77684","102,6812","73,36719","137,0695","35,06901","95,55582","160,4894","57,00519","96,95401","145,0572","158,1444","151,7864","137,5653","146,7648","128,2298","122,8133","92,40538","83,123","26,79109","36,23417","64,12016","24,17568","147,1838","123,8581","36,5004","49,78475","27,8061","124,3741","53,49495","66,10193","113,7644","58,02379","49,05625"
