Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
352950;602;21,93%;133;DRS 15
352960;498;24,83%;124;DRS 15
352965;222;23,90%;54;DRS 15
352970;2254;20,15%;455;DRS 8
352980;1504;22,98%;346;DRS 6
352990;1952;20,08%;392;DRS 12
353000;432;26,85%;116;DRS 15
353010;3381;25,74%;871;DRS 2
353020;2171;24,09%;523;DRS 11
353030;7483;24,24%;1814;DRS 15
353040;595;24,78%;148;DRS 15
353050;8410;24,21%;2037;DRS 14
353060;49459;21,14%;10456;DRS 1
353070;17771;22,83%;4058;DRS 14
353080;11610;24,20%;2810;DRS 14
353090;367;21,19%;78;DRS 10
353100;316;29,59%;94;DRS 15
353110;7598;25,47%;1936;DRS 4
353120;1019;24,87%;254;DRS 7
353130;6419;24,67%;1584;DRS 13
353140;2853;22,50%;642;DRS 15
353150;2360;24,85%;587;DRS 5
353160;566;26,69%;152;DRS 11
353170;535;24,30%;131;DRS 17
353180;5811;18,87%;1097;DRS 7
353190;2923;17,90%;524;DRS 8
353200;1436;20,69%;298;DRS 7
353205;571;23,35%;134;DRS 3
353210;627;27,78%;175;DRS 2
353215;306;19,15%;59;DRS 11
353220;487;20,25%;99;DRS 11
353230;806;25,89%;209;DRS 17
353240;2137;23,46%;502;DRS 7
353250;1265;28,02%;355;DRS 15
353260;1586;27,42%;435;DRS 15
353270;428;17,63%;76;DRS 15
353280;812;22,75%;185;DRS 15
353282;844;17,05%;144;DRS 16
353284;262;29,60%;78;DRS 15
353286;150;21,65%;33;DRS 2
353290;1091;18,85%;206;DRS 3
353300;2300;21,42%;493;DRS 15
353310;322;27,81%;90;DRS 11
353320;310;14,99%;47;DRS 2
353325;323;12,15%;40;DRS 15
353330;400;20,64%;83;DRS 2
353340;6951;22,48%;1563;DRS 7
353350;4739;23,04%;1092;DRS 15
353360;882;23,35%;206;DRS 8
353370;476;22,65%;108;DRS 9
353380;354;28,92%;103;DRS 9
353390;6385;22,85%;1459;DRS 5
353400;470;22,13%;105;DRS 15
353410;840;25,07%;211;DRS 9
353420;586;16,29%;96;DRS 15
353430;5093;22,34%;1138;DRS 8
353440;78660;21,52%;16928;DRS 1
353450;398;28,84%;115;DRS 9
353460;4305;26,92%;1159;DRS 9
353470;13899;23,45%;3260;DRS 9
353475;1152;21,57%;249;DRS 15
353480;978;22,45%;220;DRS 11
353490;1479;27,53%;408;DRS 9
353500;1388;21,78%;303;DRS 15
353510;900;15,01%;136;DRS 15
353520;1293;28,09%;364;DRS 15
353530;2843;24,86%;707;DRS 9
353540;1620;20,23%;328;DRS 11
353550;5085;22,75%;1157;DRS 9
353560;2059;22,95%;473;DRS 17
353570;720;22,57%;163;DRS 15
353580;1995;19,49%;389;DRS 6
353590;472;23,79%;113;DRS 15
353600;1342;25,34%;341;DRS 9
353610;705;21,61%;153;DRS 6
353620;2117;21,03%;446;DRS 12
353625;283;26,82%;76;DRS 15
353630;1554;21,15%;329;DRS 8
353640;753;20,89%;158;DRS 11
353650;11150;19,28%;2150;DRS 7
353657;193;21,56%;42;DRS 6
353660;1006;22,63%;228;DRS 15
353670;4774;20,30%;970;DRS 6
353680;646;22,05%;143;DRS 7
353690;322;26,90%;87;DRS 15
353700;1708;20,66%;353;DRS 8
353710;5418;22,08%;1197;DRS 7
353715;440;27,53%;122;DRS 9
353720;1153;20,41%;236;DRS 12
353730;8037;24,74%;1989;DRS 2
353740;3104;24,03%;746;DRS 2
353750;913;20,76%;190;DRS 6
353760;8724;24,24%;2115;DRS 4
353770;650;21,67%;141;DRS 2
