Código,Cidade,DRS
353500,PALESTINA,DRS 15
353510,PALMARES PAULISTA,DRS 15
353520,PALMEIRA D'OESTE,DRS 15
353530,PALMITAL,DRS 9
353540,PANORAMA,DRS 11
353550,PARAGUACU PAULISTA,DRS 9
353560,PARAIBUNA,DRS 17
353570,PARAISO,DRS 15
353580,PARANAPANEMA,DRS 6
353590,PARANAPUA,DRS 15
353600,PARAPUA,DRS 9
353610,PARDINHO,DRS 6
353620,PARIQUERA-ACU,DRS 12
353625,PARISI,DRS 15
353630,PATROCINIO PAULISTA,DRS 8
353640,PAULICEIA,DRS 11
353650,PAULINIA,DRS 7
353657,PAULISTANIA,DRS 6
353660,PAULO DE FARIA,DRS 15
353670,PEDERNEIRAS,DRS 6
353680,PEDRA BELA,DRS 7
353690,PEDRANOPOLIS,DRS 15
353700,PEDREGULHO,DRS 8
353710,PEDREIRA,DRS 7
353715,PEDRINHAS PAULISTA,DRS 9
353720,PEDRO DE TOLEDO,DRS 12
353730,PENAPOLIS,DRS 2
353740,PEREIRA BARRETO,DRS 2
353750,PEREIRAS,DRS 6
353760,PERUIBE,DRS 4
353770,PIACATU,DRS 2
353780,PIEDADE,DRS 16
353790,PILAR DO SUL,DRS 16
353800,PINDAMONHANGABA,DRS 17
353810,PINDORAMA,DRS 15
353820,PINHALZINHO,DRS 7
353830,PIQUEROBI,DRS 11
353850,PIQUETE,DRS 17
353860,PIRACAIA,DRS 7
353870,PIRACICABA,DRS 10
353880,PIRAJU,DRS 6
353890,PIRAJUI,DRS 6
353900,PIRANGI,DRS 15
353910,PIRAPORA DO BOM JESUS,DRS 1
353920,PIRAPOZINHO,DRS 11
353930,PIRASSUNUNGA,DRS 10
353940,PIRATININGA,DRS 6
353950,PITANGUEIRAS,DRS 13
353960,PLANALTO,DRS 15
353970,PLATINA,DRS 9
353980,POA,DRS 1
353990,POLONI,DRS 15
354000,POMPEIA,DRS 9
354010,PONGAI,DRS 6
354020,PONTAL,DRS 13
354025,PONTALINDA,DRS 15
354030,PONTES GESTAL,DRS 15
354040,POPULINA,DRS 15
354050,PORANGABA,DRS 6
354060,PORTO FELIZ,DRS 16
354070,PORTO FERREIRA,DRS 3
354075,POTIM,DRS 17
354080,POTIRENDABA,DRS 15
354085,PRACINHA,DRS 9
354090,PRADOPOLIS,DRS 13
354100,PRAIA GRANDE,DRS 4
354105,PRATANIA,DRS 6
354110,PRESIDENTE ALVES,DRS 6
354120,PRESIDENTE BERNARDES,DRS 11
354130,PRESIDENTE EPITACIO,DRS 11
354140,PRESIDENTE PRUDENTE,DRS 11
354150,PRESIDENTE VENCESLAU,DRS 11
354160,PROMISSAO,DRS 6
354165,QUADRA,DRS 16
354170,QUATA,DRS 11
354180,QUEIROZ,DRS 9
354190,QUELUZ,DRS 17
354200,QUINTANA,DRS 9
354210,RAFARD,DRS 10
354220,RANCHARIA,DRS 11
354230,REDENCAO DA SERRA,DRS 17
354240,REGENTE FEIJO,DRS 11
354250,REGINOPOLIS,DRS 6
354260,REGISTRO,DRS 12
354270,RESTINGA,DRS 8
354280,RIBEIRA,DRS 16
354290,RIBEIRAO BONITO,DRS 3
354300,RIBEIRAO BRANCO,DRS 16
354310,RIBEIRAO CORRENTE,DRS 8
354320,RIBEIRAO DO SUL,DRS 9
354323,RIBEIRAO DOS INDIOS,DRS 11
354325,RIBEIRAO GRANDE,DRS 16
354330,RIBEIRAO PIRES,DRS 1
354340,RIBEIRAO PRETO,DRS 13
354350,RIVERSUL,DRS 16
354360,RIFAINA,DRS 8
354370,RINCAO,DRS 3
354380,RINOPOLIS,DRS 9
354390,RIO CLARO,DRS 10
354400,RIO DAS PEDRAS,DRS 10
354410,RIO GRANDE DA SERRA,DRS 1
354420,RIOLANDIA,DRS 15
354425,ROSANA,DRS 11
354430,ROSEIRA,DRS 17
354440,RUBIACEA,DRS 2
354450,RUBINEIA,DRS 15
354460,SABINO,DRS 6
354470,SAGRES,DRS 9
354480,SALES,DRS 15
354490,SALES OLIVEIRA,DRS 8
354500,SALESOPOLIS,DRS 1
354510,SALMOURAO,DRS 9
354515,SALTINHO,DRS 10
354520,SALTO,DRS 16
354530,SALTO DE PIRAPORA,DRS 16
354540,SALTO GRANDE,DRS 9
354550,SANDOVALINA,DRS 11
354560,SANTA ADELIA,DRS 15
354570,SANTA ALBERTINA,DRS 15
354580,SANTA BARBARA D'OESTE,DRS 7
354600,SANTA BRANCA,DRS 17
354610,SANTA CLARA D'OESTE,DRS 15
354620,SANTA CRUZ DA CONCEICAO,DRS 10
354625,SANTA CRUZ DA ESPERANCA,DRS 13
354630,SANTA CRUZ DAS PALMEIRAS,DRS 14
354640,SANTA CRUZ DO RIO PARDO,DRS 9
